strain	date	virus	continent	country	state	municipality	company_type	host	sampled	scion	stock	major_genotype	db	segment	authors	url	title	journal	paper_url
39070014_A	2019-10-31	ToBRFV	europe	netherlands	zuid_holland	honselersdijk	fruit_production	solanum_lycopersicum	leaves	piccolo	maxifort	82.3	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882028	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
39070014_B	2019-10-31	ToBRFV	europe	netherlands	zuid_holland	honselersdijk	fruit_production	solanum_lycopersicum	leaves	piccolo	maxifort	85.6	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882029	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
39070022_A	2019-11-4	ToBRFV	africa	egypt	egypt	egypt	trading	solanum_lycopersicum	fruits	unknown	unknown	86.8	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882030	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
39070022_B	2019-11-4	ToBRFV	africa	egypt	egypt	egypt	trading	solanum_lycopersicum	fruits	unknown	unknown	85.5	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882031	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
39070030_A	2019-11-4	ToBRFV	africa	egypt	egypt	egypt	trading	solanum_lycopersicum	fruits	unknown	unknown	71.6	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882032	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
39070030_B	2019-11-4	ToBRFV	africa	egypt	egypt	egypt	trading	solanum_lycopersicum	fruits	unknown	unknown	77.3	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882033	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
39070110_A	2019-11-7	ToBRFV	europe	netherlands	zuid_holland	kwintsheul	fruit_production	solanum_lycopersicum	fruits	livorno_caroletta	stallone_maxifort	87.7	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882034	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
39070110_B	2019-11-7	ToBRFV	europe	netherlands	zuid_holland	kwintsheul	fruit_production	solanum_lycopersicum	fruits	livorno_caroletta	stallone_maxifort	83.4	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882035	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
39070110_C	2019-11-7	ToBRFV	europe	netherlands	zuid_holland	kwintsheul	fruit_production	solanum_lycopersicum	roots	livorno_caroletta	stallone_maxifort	73.6	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882036	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
39070153_A	2019-10-29	ToBRFV	europe	netherlands	zuid_holland	kwintsheul	fruit_production	solanum_lycopersicum	leaves	robagino_drc564	maxifort_dro141	84.7	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882037	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
39070153_B	2019-10-29	ToBRFV	europe	netherlands	zuid_holland	kwintsheul	fruit_production	environmental	water_extracted_from_rock_wool	robagino_drc564	maxifort_dro141	67.2	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882038	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
39070153_C	2019-10-29	ToBRFV	europe	netherlands	zuid_holland	kwintsheul	fruit_production	environmental	water_extracted_from_rock_wool	robagino_drc564	maxifort_dro141	81.7	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882039	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
39070153_D	2019-10-29	ToBRFV	europe	netherlands	zuid_holland	kwintsheul	fruit_production	solanum_lycopersicum	roots_from_rock_wool	robagino_drc564	maxifort_dro141	70.3	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882040	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
39070153_E	2019-10-29	ToBRFV	europe	netherlands	zuid_holland	kwintsheul	fruit_production	solanum_lycopersicum	roots_from_rock_wool	robagino_drc564	maxifort_dro141	99.9	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882041	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
39563361_A	2019-10-24	ToBRFV	europe	netherlands	zuid_holland	vierpolders	fruit_production	solanum_lycopersicum	leaves	drc564	dro141	76.4	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882042	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
39563361_B	2019-10-24	ToBRFV	europe	netherlands	zuid_holland	vierpolders	fruit_production	solanum_lycopersicum	leaves	drc564	dro141	99.8	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882043	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
39563388_A	2019-10-30	ToBRFV	europe	netherlands	zuid_holland	vierpolders	fruit_production	solanum_lycopersicum	leaves	merlice	maxifort	99.7	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882044	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
39563388_B	2019-10-30	ToBRFV	europe	netherlands	zuid_holland	vierpolders	fruit_production	solanum_lycopersicum	leaves	merlice	maxifort	99.9	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882045	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
39941430_A	2019-11-1	ToBRFV	europe	netherlands	noord_holland	middenmeer	fruit_production	solanum_lycopersicum	leaves	axiany	maxifort	98.0	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882046	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
39941430_B	2019-11-1	ToBRFV	europe	netherlands	noord_holland	middenmeer	fruit_production	solanum_lycopersicum	leaves	axiany	maxifort	78.8	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882047	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
39941596_A	2019-11-1	ToBRFV	europe	netherlands	noord_holland	middenmeer	fruit_production	solanum_lycopersicum	leaves	xandor	maxifort	100.0	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882048	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
39941596_B-1	2019-11-1	ToBRFV	europe	netherlands	noord_holland	middenmeer	fruit_production	solanum_lycopersicum	leaves	xandor	maxifort	99.7	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882049	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
39941596_B-2	2019-11-1	ToBRFV	europe	netherlands	noord_holland	middenmeer	fruit_production	solanum_lycopersicum	leaves	xandor	maxifort	100.0	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882050	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
39941617_A	2019-11-1	ToBRFV	europe	netherlands	noord_holland	middenmeer	fruit_production	solanum_lycopersicum	leaves	pomo_dolce	maxifort	100.0	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882051	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
39941625_A	2019-11-1	ToBRFV	europe	netherlands	noord_holland	middenmeer	fruit_production	solanum_lycopersicum	leaves	perfecto	maxifort	99.7	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882052	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
39941641_A-1	2019-11-1	ToBRFV	europe	netherlands	noord_holland	middenmeer	fruit_production	solanum_lycopersicum	leaves	pomo_dolce	maxifort	54.5	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882053	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
39941641_A-2	2019-11-1	ToBRFV	europe	netherlands	noord_holland	middenmeer	fruit_production	solanum_lycopersicum	leaves	pomo_dolce	maxifort	54.5	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882054	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
39941641_B-1	2019-11-1	ToBRFV	europe	netherlands	noord_holland	middenmeer	fruit_production	solanum_lycopersicum	leaves	pomo_dolce	maxifort	63.0	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882055	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
39941641_B-2	2019-11-1	ToBRFV	europe	netherlands	noord_holland	middenmeer	fruit_production	solanum_lycopersicum	leaves	pomo_dolce	maxifort	63.0	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882056	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
39941668_A	2019-11-1	ToBRFV	europe	netherlands	noord_holland	middenmeer	fruit_production	solanum_lycopersicum	leaves	sweetelle	maxifort	99.4	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882057	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
39941668_B	2019-11-1	ToBRFV	europe	netherlands	noord_holland	middenmeer	fruit_production	solanum_lycopersicum	leaves	sweetelle	maxifort	88.2	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882058	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
39962055_A	2019-11-7	ToBRFV	europe	netherlands	zeeland	rilland	fruit_production	solanum_lycopersicum	leaves	dubbo	dro141	74.5	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882059	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
39962055_B	2019-11-7	ToBRFV	europe	netherlands	zeeland	rilland	fruit_production	solanum_lycopersicum	leaves	dubbo	dro141	78.7	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882060	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
39962442_A	2019-11-1	ToBRFV	europe	netherlands	noord_holland	middenmeer	fruit_production	solanum_lycopersicum	leaves	merlice	maxifort	77.6	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882061	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
39962442_B	2019-11-1	ToBRFV	europe	netherlands	noord_holland	middenmeer	fruit_production	solanum_lycopersicum	leaves	merlice	maxifort	87.1	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882062	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
39963015_A	2019-10-31	ToBRFV	europe	netherlands	zuid_holland	de_lier	fruit_production	solanum_lycopersicum	leaves	proudesse	unknown	74.7	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882063	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
39963015_B	2019-10-31	ToBRFV	europe	netherlands	zuid_holland	de_lier	fruit_production	solanum_lycopersicum	leaves	proudesse	unknown	74.9	genbank	genome	van de vossenberg et al. 2020	https://www.ncbi.nlm.nih.gov/nuccore/mn882064	Real-time tracking of Tomato brown rugose fruit virus (ToBRFV) outbreaks in the Netherlands using nextstrain	plos one	unpublished
